bm_unit,site_name,long,lat
T_DAMC-1,Damhead Creek power station,0.6001,51.4254
T_CARR-1,Carrington Power Station,-2.41089,53.4358
T_CDCL-1,Cottam Development Centre,-0.786,53.3062
T_CNQPS-1,Connah's Quay Power Station,-3.0813,53.2322
T_COSO-1,Coryton Power Station,0.508,51.512
T_CNQPS-4,Connah's Quay Power Station,-3.0813,53.2322
T_CNQPS-2,Connah's Quay Power Station,-3.0813,53.2322
T_CARR-2,Carrington Power Station,-2.41089,53.4358
2__HANGE005,,,
2__MCNDL001,Brigg STOR,-0.508006,53.540993
E_CHAPB-1,Chapel Farm Battery Storage,-0.4963,51.9266
E_CLAYB-2,Clay Tye Battery,,
T_CRUA-4,Cruachan Power Station,-5.11305556,56.40638889
E_CLAYB-1,Clay Tye Battery,,
2__MCMRO002,,,
2__MCNDL002,,,
2__GANGE001,,,
2__HLOND002,,,
T_COVNB-1,Coventry Battery Storage,,
2__GCMRO001,,,
2__HSTAT007,,,
E_CONTB-1,Contego Battery,-0.162756,50.95526
2__HANGE004,Minety Battery Storage,,
2__MSTAT001,Creyke Beck Battery Storage,,
2__GFLEX008,,,
E_ARNKB-1,Bloxwich Battery,,
T_CRUA-3,Cruachan Power Station,-5.11305556,56.40638889
2__HSTAT002,Minety South Battery Storage,,
E_BROAB-1,Broadditch Battery,,
2__HSTAT001,Minety South Battery Storage,,
2__NFLEX001,,,
E_BARNB-1,Hunningley Stairfoot Battery,,
E_BARNB-1,Hunningley Stairfoot BESS,-1.45007,53.54841
2__BFLEX004,,,
2__ASTAT005,Pelham Battery Storage,,
2__DLOND001,,,
2__NLOND001,,,
2__MSTAT002,,,
2__HANGE003,Minety Battery Storage,,
2__EFLEX004,,,
2__GLOND004,,,
