,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
0,Rothes Wind Farm,CAIRW-1,57.53,-3.36,,,,,,,
1,Rothes Wind Farm,CAIRW-2,57.53,-3.36,,,,,,,
2,Rothes Wind Farm,ROTHW-1,57.53,-3.36,,,,,,,
3,Fawley Cogen Power Station,FAWN-1,,,,,,,,,
4,Markinch Biomass Plant,MARK-1,,,,,,,,,
5,Lochluichart Wind Farm,LCLTW-1,,,Lochluichart,Wind Onshore,57.65459417039500,-4.816701149722270,51.00,exact,y
6,Clachan Power Station,CLAC-1,56.27745,-4.9218,,,,,,,
7,Garry Hydroelectric Scheme,CAS-GAR01,,,,,,,,,
8,Moriston Hydroelectric Scheme,CAS-MOR01,,,,,,,,,
9,Tom na Clach Wind Farm,TMNCW-1,,,,,,,,,
10,Killin Hydroelectric Scheme,CAS-KIL01,,,,,,,,,
11,Baillie Wind Farm,BABAW-1,,,,,,,,,
12,Croydon Power Station,CROYD-2,51.37644,-0.11637,,,,,,,
13,Camster Wind Farm,CMSTW-1,,,Camster,Wind Onshore,58.40865076654010,-3.2715144469842000,50.00,exact,y
14,Hill of Towie Wind Farm,HLTWW-1,,,,,,,,,
15,Dunbar Energy Recovery Facility,DNBAR-1,,,,,,,,,
16,Corriemoillie Wind Farm,CRMLW-1,,,Corriemoillie,Wind Onshore,57.66872565617340,-4.773018029760210,54.40,exact,y
17,Halsary Wind Farm,HALSW-1,,,,,,,,,
18,Causeymire Wind Farm,CAUSW-1,,,Causeymire,Wind Onshore,58.443469800515900,-3.0854229022550900,48.30,exact,y
19,Coire Na Cloiche Wind Farm,CNCLW-1,,,,,,,,,
20,Edinbane Wind Farm,EDINW-1,,,,,,,,,
21,Bad a Cheo Wind Farm,BDCHW-1,,,,,,,,,
22,Rosehall Wind Farm,RSHLW-1,,,,,,,,,
23,Dalquhandy Wind Farm,DALQW-1,,,,,,,,,
24,Harburnhead Wind Farm,HBHDW-1,,,,,,,,,
25,Mid Hill Wind Farm,MDHLW-1,,,,,,,,,
26,Hill of Glaschyle Wind Farm,HLGLW-1,,,,,,,,,
27,Tralorg Wind Farm,TRLGW-1,,,,,,,,,
28,Beinn Tharsuinn Wind Farm,BETHW-1,,,,,,,,,
29,Sanquhar Community Wind Farm,SANQW-1,,,,,,,,,
30,Douglas West Wind Farm,DOUGW-1,,,,,,,,,
31,Burn of Whilk Wind Farm,BNWKW-1,,,Burn of Whilk,Wind Onshore,58.35675889549080,-3.203853736930410,22.50,exact,y
32,Tullymurdoch Wind Farm,TLYMW-1,,,,,,,,,
33,Cour Wind Farm,COUWW-1,,,,,,,,,
34,Middle Muir Wind Farm,MIDMW-1,,,,,,,,,
35,Gordonstown Hill Wind Farm,GDSTW-1,,,,,,,,,
36,Glens of Foudland Wind Farm,GLOFW-1,57.414,-2.65,Glens of Foudland,Wind Onshore,57.4253453254024,-2.636074563162250,26.00,exact,y
37,Hare Hill Wind Farm,HRHLW-1,,,Hare Hill,Wind Onshore,54.76158064449300,-1.4151091161122900,1.30,exact,y
38,Crossdykes Wind Farm,CRDEW-1,,,Crossdykes,Wind Onshore,55.1761484100541,-3.1728699866762600,48.00,exact,y
39,Crossdykes Wind Farm,CRDEW-2,,,Crossdykes,Wind Onshore,55.1761484100541,-3.1728699866762600,48.00,exact,y
40,Capenhurst Battery,PINFB-1,53.265694444,-2.943583333,,,,,,,
41,Capenhurst Battery,PINFB-2,53.265694444,-2.943583333,,,,,,,
42,Capenhurst Battery,PINFB-3,53.265694444,-2.943583333,,,,,,,
43,Capenhurst Battery,PINFB-4,53.265694444,-2.943583333,,,,,,,
44,Capenhurst Battery,PINFB-5,53.265694444,-2.943583333,,,,,,,
45,Capenhurst Battery,PINFB-6,53.265694444,-2.943583333,,,,,,,
46,Freasdail Wind Farm,FSDLW-1,,,,,,,,,
