,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
0,Rothes Wind Farm,CAIRW-1,57.53,-3.36,,,,,,,
1,Rothes Wind Farm,CAIRW-2,57.53,-3.36,,,,,,,
2,Rothes Wind Farm,ROTHW-1,57.53,-3.36,,,,,,,
3,Fawley Cogen Power Station,FAWN-1,,,,,,,,,
4,Markinch Biomass Plant,MARK-1,,,,,,,,,
6,Clachan Power Station,CLAC-1,56.27745,-4.9218,,,,,,,
7,Garry Hydroelectric Scheme,CAS-GAR01,,,,,,,,,
8,Moriston Hydroelectric Scheme,CAS-MOR01,,,,,,,,,
9,Tom na Clach Wind Farm,TMNCW-1,,,,,,,,,
10,Killin Hydroelectric Scheme,CAS-KIL01,,,,,,,,,
11,Baillie Wind Farm,BABAW-1,,,Baillie Wind Farm,Wind Onshore,58.56792108721410,-3.6770209864280100,52.50,exact,y
12,Croydon Power Station,CROYD-2,51.37644,-0.11637,,,,,,,
14,Hill of Towie Wind Farm,HLTWW-1,,,,,,,,,
15,Dunbar Energy Recovery Facility,DNBAR-1,,,,,,,,,
17,Halsary Wind Farm,HALSW-1,,,Halsary Wind Farm,Wind Onshore,58.43089974308120,-3.4444471502354200,34.00,exact,y
19,Coire Na Cloiche Wind Farm,CNCLW-1,,,Coire Na Cloiche Wind Farm,Wind Onshore,57.76961921131170,-4.373160505979300,29.90,exact,y
20,Edinbane Wind Farm,EDINW-1,,,Edinbane Wind Farm,Wind Onshore,57.46912682028170,-6.432206098199520,41.40,exact,y
21,Bad a Cheo Wind Farm,BDCHW-1,,,Bad a Cheo Wind Farm,Wind Onshore,58.42046248322650,-3.4291930081059200,26.70,exact,y
22,Rosehall Wind Farm,RSHLW-1,,,,,,,,,
23,Dalquhandy Wind Farm,DALQW-1,,,,,,,,,
24,Harburnhead Wind Farm,HBHDW-1,,,Harburnhead Wind Farm,Wind Onshore,55.80868120217950,-3.5321721583194200,51.70,exact,y
25,Mid Hill Wind Farm,MDHLW-1,,,,,,,,,
26,Hill of Glaschyle Wind Farm,HLGLW-1,,,Hill of Glaschyle Wind Farm,Wind Onshore,57.51052023330880,-3.615587121855940,27.60,exact,y
27,Tralorg Wind Farm,TRLGW-1,,,Tralorg Wind Farm,Wind Onshore,55.2497706457218,-4.8061708857371200,20.00,exact,y
28,Beinn Tharsuinn Wind Farm,BETHW-1,,,,,,,,,
29,Sanquhar Community Wind Farm,SANQW-1,,,,,,,,,
30,Douglas West Wind Farm,DOUGW-1,,,,,,,,,
32,Tullymurdoch Wind Farm,TLYMW-1,,,Tullymurdoch Wind Farm,Wind Onshore,56.65490848904890,-3.3134138177532900,14.40,exact,y
33,Cour Wind Farm,COUWW-1,,,Cour Wind Farm,Wind Onshore,55.680679071938800,-5.484928577654590,20.50,exact,y
34,Middle Muir Wind Farm,MIDMW-1,,,Middle Muir Wind Farm,Wind Onshore,55.512885933756000,-3.804016992486900,51.00,exact,y
35,Gordonstown Hill Wind Farm,GDSTW-1,,,Gordonstown Hill Wind Farm,Wind Onshore,57.46192107232460,-2.4827606935747800,12.50,exact,y
40,Capenhurst Battery,PINFB-1,53.265694444,-2.943583333,,,,,,,
41,Capenhurst Battery,PINFB-2,53.265694444,-2.943583333,,,,,,,
42,Capenhurst Battery,PINFB-3,53.265694444,-2.943583333,,,,,,,
43,Capenhurst Battery,PINFB-4,53.265694444,-2.943583333,,,,,,,
44,Capenhurst Battery,PINFB-5,53.265694444,-2.943583333,,,,,,,
45,Capenhurst Battery,PINFB-6,53.265694444,-2.943583333,,,,,,,
46,Freasdail Wind Farm,FSDLW-1,,,Freasdail Wind Farm,Wind Onshore,55.77701055393310,-5.470638736814860,22.50,exact,y
47,Assel Valley Wind Farm,ASLVW-1,,,Assel Valley Wind Farm,Wind Onshore,55.22647843305390,-4.778705371098770,25.00,exact,y
