name,bm_unit,lat,long
Rothes Wind Farm,CAIRW-1,57.53,-3.36
Rothes Wind Farm,CAIRW-2,57.53,-3.36
Rothes Wind Farm,ROTHW-1,57.53,-3.36
Fawley Cogen Power Station,FAWN-1,,
Markinch Biomass Plant,MARK-1,,
Clachan Power Station,CLAC-1,56.27745,-4.9218
Garry Hydroelectric Scheme,CAS-GAR01,,
Moriston Hydroelectric Scheme,CAS-MOR01,,
Tom na Clach Wind Farm,TMNCW-1,,
Killin Hydroelectric Scheme,CAS-KIL01,,
Croydon Power Station,CROYD-2,51.37644,-0.11637
Hill of Towie Wind Farm,HLTWW-1,,
Dunbar Energy Recovery Facility,DNBAR-1,,
Rosehall Wind Farm,RSHLW-1,,
Dalquhandy Wind Farm,DALQW-1,,
Mid Hill Wind Farm,MDHLW-1,,
Beinn Tharsuinn Wind Farm,BETHW-1,,
Sanquhar Community Wind Farm,SANQW-1,,
Douglas West Wind Farm,DOUGW-1,,
Capenhurst Battery,PINFB-1,53.265694444,-2.943583333
Capenhurst Battery,PINFB-2,53.265694444,-2.943583333
Capenhurst Battery,PINFB-3,53.265694444,-2.943583333
Capenhurst Battery,PINFB-4,53.265694444,-2.943583333
Capenhurst Battery,PINFB-5,53.265694444,-2.943583333
Capenhurst Battery,PINFB-6,53.265694444,-2.943583333
Burwell Battery,BURWB-1,,
Brook Farm Battery,BROFB-1,52.074,1.05
Arbroath Battery,ARBRB-1,56.56497,-2.619634
Hutton Battery,ARNKB-2,,
Hunningley Stairfoot Battery,BARNB-1,,
Nant Power Station,NANT-1,56.338055555,-5.211666666
Airies Wind Farm,AIRSW-1,,
Didcot B Power Station,DIDCB5,51.6254,-1.268
Didcot B Power Station,DIDCB6,51.6254,-1.268
Didcot OCGT Power Station,DIDC01G,51.6245,-1.2639
Didcot OCGT Power Station,DIDC02G,51.6245,-1.2639
Didcot OCGT Power Station,DIDC03G,51.6245,-1.2639
Didcot OCGT Power Station,DIDC04G,51.6245,-1.2639
Contego Battery,CONTB-1,50.95526,-0.162756
Nursling Battery,NURSB-1,50.942355,-1.484869
Goole Fields Wind Farms,GFLDW-1,53.6643,-0.8822
Rugeley B Power Station,RUGGT-6,,
Rugeley B Power Station,RUGGT-7,,
Rugeley B Power Station,RUGPS-6,,
Rugeley B Power Station,RUGPS-7,,
Cowley Battery Storage,COWB-1,51.709925,-1.189058
Redfield Road Gas Generation Plant,RDFRB-1,,
Redfield Road Gas Generation Plant,RDFRD-1,,
Tremorfa Steelworks,TRMFD-1,,
Pen y Cymoedd Battery,PNYCB-1,,
Aylesford Battery,AG-ZEN03J,,
Pillswood Battery,PILLB-1,,
Pillswood Battery,PILLB-2,,
Clunie Cascade,CAS-CLU01,,
Bustleholme Battery,BUSTB-1,,
Thurcroft Battery,AG-MFLX02,,
Mannington Battery Storage,AG-HEDF01,,
Skelmersdale Battery,SKELB-1,,
Enderby Storage,BFSE01,,
Lester Way Power Plant,LSTWY-1,,
The Drove Power Plant,TDRVE-1,,
Red Scar Peaking Plant,RDSCR-1,,
Red Scar Battery Storage,AG-HEL00G,,
Hunningley Stairfoot BESS,BARNB-1,53.54841,-1.45007
Peterhead Power Station,PEHE-1,57.4772,-1.78888
Peterhead Power Station,PEHE-2,57.4772,-1.78888
Sizewell B power station,SIZB-1,52.215,1.61972
Sizewell B power station,SIZB-2,52.215,1.61972
Heysham 1 power station,HEYM11,54.0304,-2.91719
Heysham 1 power station,HEYM12,54.0304,-2.91719
Heysham 2 power station,HEYM27,54.0273,-2.91504
Heysham 2 power station,HEYM28,54.0273,-2.91504
Heysham 2 power station,HEYM2D-1,54.0273,-2.91504
Dungeness B power station,DNGB21,50.9134,0.95976
Dungeness B power station,DNGB22,50.9134,0.95976
Dungeness B power station,DNGBD-1,50.9134,0.95976
Conon Valley Hydro Electric Scheme,CAS-CON01,57.554,-4.598
Finlarig power station,FINL-1,56.4816,-4.29872
Hornsea Two Offshore Wind Farm,HOWBO-1,53.91,1.5518
Hornsea Two Offshore Wind Farm,HOWBO-2,53.91,1.5518
Hornsea Two Offshore Wind Farm,HOWBO-3,53.91,1.5518
Dorenell Wind Farm,DOREW-1,,
Dorenell Wind Farm,DOREW-2,,
Bhlaraidh Wind Farm,BHLAW-1,57.2456,-4.7158
Dogger Bank A Wind Farm,DBAWO-3,54.7489,1.9301
Dogger Bank A Wind Farm,DBAWO-4,54.7489,1.9301
Dogger Bank A Wind Farm,DBAWO-5,54.7489,1.9301
Brockloch Rig Wind Farm,WISTW-2,,
