wikidata_site_name,repd_site_name,repd_long,repd_lat
A’Chruach Wind Farm,A'Chruach (Phase 1),-5.310216220516910,56.15276760132370
A’Chruach Wind Farm,A'Chruach (Phase 2),-5.310195316193860,56.12444914249390
Aikengall Community Wind Farm,Aikengall,-2.4900662877040900,55.917208733816000
Aikengall Community Wind Farm,"Aikengall II, Wester Dod Community Wind Farm",-2.4900662877040900,55.917208733816000
Aikengall Community Wind Farm,Aikengall IIa Community Wind Farm,-2.4525902607503500,55.89341637689040
Airies Wind Farm,Airies Farm,-4.657736096679620,54.802050805497600
Arecleoch Wind Farm,Arecleoch Wind Farm (extension),-4.797053507264140,55.06878497205820
Bad a Cheo Wind Farm,Bad a Cheo Wind Farm,-3.4291930081059200,58.420462483226400
Baillie Wind Farm,Baillie Wind Farm,-3.6770209864280100,58.56792108721410
Beinn Tharsuinn Wind Farm,Beinn Tharsuinn Extension (Beinn nan Oighrean),-4.248151114965530,57.78822535079500
Bhlaraidh Wind Farm,Bhlaraidh Wind Farm Extension,-4.661787159504260,57.25135904241670
Braes of Doune Wind Farm,Braes O'Doune,-4.0589374267598900,56.269828915366
Brockloch Rig Wind Farm,Windy Standard III Wind Farm (Brockloch Rig Phase 2),-4.241713992738740,55.27640560464840
Broken Cross wind farm,Broken Cross (Former Surface Mine),-3.816174252082660,55.60449893482160
Brook Farm Battery,"Brook Farm, High Street - Battery Energy Storage",-1.3727949035918400,53.02901815512210
Brownieleys Wind Farm,BROWNIELEYS - 3 WIND TURBINES,-2.3791474319975400,56.83990929236930
Burwell Battery,Burwell - Battery Storage,0.3162553469170260,52.27859752317970
Capenhurst Battery,"Capenhurst Lane, Capenhurst - Battery storage",-2.950311529412670,53.26790179892090
Clachan Power Station,Clachan Flats Wind Farm,-4.942889825389990,56.28809278304760
Clachan Power Station,Clachan Flats Wind Farm,-4.942889825389990,56.28809278304760
Coire Na Cloiche Wind Farm,Coire Na Cloiche Wind Farm,-4.373160505979300,57.76961921131170
Corby Power Station,Corby Biomass Plant,-0.6783170707286420,52.50860736609460
Cottam Development Centre,Cottam Wind Farm,-0.8028584415153530,53.31056725870520
Cottam Development Centre,Cottam wind farm,-0.7850283336044290,53.32322368413550
