,bm_unit,repd_site_name,repd_lat,repd_long,technology_type,capacity,county,region,development_status
0,T_ACHRW-1,A'Chruach (Phase 1),56.15277,-5.31022,Wind Onshore,48.3,Strathclyde,Scotland,Operational
1,T_ACHRW-1,A'Chruach (Phase 2),56.12445,-5.3102,Wind Onshore,4.0,Argyll and Bute,Scotland,Planning Permission Expired
2,T_AFTOW-1,Afton Wind Farm,55.3116,-4.17428,Wind Onshore,50.0,Strathclyde,Scotland,Operational
3,T_AKGLW-2,Aikengall,55.91721,-2.49007,Wind Onshore,48.0,Lothian,Scotland,Operational
4,T_AKGLW-3,Aikengall,55.91721,-2.49007,Wind Onshore,48.0,Lothian,Scotland,Operational
5,T_AKGLW-3,"Aikengall II, Wester Dod Community Wind Farm",55.91721,-2.49007,Wind Onshore,60.8,Lothian,Scotland,Operational
6,T_AKGLW-2,"Aikengall II, Wester Dod Community Wind Farm",55.91721,-2.49007,Wind Onshore,60.8,Lothian,Scotland,Operational
7,T_AKGLW-3,Aikengall IIa Community Wind Farm,55.89342,-2.45259,Wind Onshore,81.7,Borders,Scotland,Operational
8,T_AKGLW-2,Aikengall IIa Community Wind Farm,55.89342,-2.45259,Wind Onshore,81.7,Borders,Scotland,Operational
9,E_AIRSW-1,Airies Farm,54.80205,-4.65774,Wind Onshore,35.0,Dumfries and Galloway,Scotland,Operational
10,T_ANSUW-1,An Suidhe,56.21867,-5.21937,Wind Onshore,19.3,Strathclyde,Scotland,Operational
11,E_ASHWW-1,Andershaw,55.50933,-3.84626,Wind Onshore,36.0,Strathclyde,Scotland,Operational
12,T_ARCHW-1,Arecleoch Wind Farm (extension),55.06878,-4.79705,Wind Onshore,73.0,South Ayrshire,Scotland,Awaiting Construction
13,T_ARCHW-1,Arecleoch Wind Farm (extension),55.06878,-4.79705,Battery,20.0,South Ayrshire,Scotland,Awaiting Construction
14,T_ARCHW-1,Arecleoch Windfarm,55.06878,-4.79705,Wind Onshore,120.0,South Ayrshire,Scotland,Operational
15,E_ASLVW-1,Assel Valley Wind Farm,55.22648,-4.77871,Wind Onshore,25.0,Strathclyde,Scotland,Operational
16,E_ABRTW-1,Auchrobert Wind Farm,55.624,-3.98421,Wind Onshore,36.0,Strathclyde,Scotland,Operational
17,E_BRNLW-1,BROWNIELEYS - 3 WIND TURBINES,56.83991,-2.37915,Wind Onshore,7.5,Grampian,Scotland,Operational
18,T_BDCHW-1,Bad a Cheo Wind Farm,58.42046,-3.42919,Wind Onshore,26.7,Highland,Scotland,Operational
19,E_BABAW-1,Baillie Wind Farm,58.56792,-3.67702,Wind Onshore,52.5,Highland,Scotland,Operational
20,T_BOWLW-1,Barrow,53.99146,-3.29828,Wind Offshore,90.0,Offshore,Offshore,Operational
21,T_BEATO-3,Beatrice,58.08823,-2.95016,Wind Offshore,588.0,Offshore,Offshore,Operational
22,T_BEATO-2,Beatrice,58.08823,-2.95016,Wind Offshore,588.0,Offshore,Offshore,Operational
23,T_BEATO-1,Beatrice,58.08823,-2.95016,Wind Offshore,588.0,Offshore,Offshore,Operational
24,T_BEATO-4,Beatrice,58.08823,-2.95016,Wind Offshore,588.0,Offshore,Offshore,Operational
