bm_unit,repd_site_name,repd_lat,repd_long
T_HOWAO-3,Hornsea 1 - Heron & Njord,53.68154,1.42074
T_HOWAO-1,Hornsea 1 - Heron & Njord,53.68154,1.42074
T_HOWAO-2,Hornsea 1 - Heron & Njord,53.68154,1.42074
T_GRGBW-1,Greater Gabbard Wind Farm,51.91764,1.92842
T_WLNYO-3,Walney 3,54.08999,-3.74001
T_WHILW-1,Whitelee,55.68121,-4.27906
T_RCBKO-2,Race Bank (Phase 2),53.13597,0.58917
T_RCBKO-1,Race Bank (Phase 1),53.13597,0.58917
T_BRBEO-1,Burbo Bank,53.48818,-3.18492
T_WHILW-2,Whitelee Windfarm Extension Phase 1,55.67715,-4.28678
T_KLGLW-1,Kilgallioch wind farm,54.98845,-4.80172
T_WTMSO-1,Westermost Rough A,53.09773,0.56148
T_CRYRW-2,Crystal Rig Wind Farm Phase 2a,55.89948,-2.52931
T_RMPNO-2,Rampion Offshore Wind Farm (Hastings Zone),50.63999,-0.18
T_RMPNO-1,Rampion Offshore Wind Farm (Hastings Zone),50.63999,-0.18
T_CLDNW-1,Clyde Wind Farm,55.44163,-3.54273
T_CLDCW-1,Clyde Wind Farm,55.44163,-3.54273
T_LARYW-2,London Array Phase 1,51.62168,1.49583
T_LARYW-4,London Array Phase 1,51.62168,1.49583
T_LARYW-1,London Array Phase 1,51.62168,1.49583
T_LARYW-3,London Array Phase 1,51.62168,1.49583
T_BEATO-4,Beatrice,58.08823,-2.95016
T_BEATO-3,Beatrice,58.08823,-2.95016
T_GRGBW-3,Gabbard,,
T_GRGBW-2,Gabbard,,
T_SHRSW-1,Sheringham Shoal ,53.13532,1.14792
T_SHRSW-2,Sheringham Shoal ,53.13532,1.14792
T_OMNDW-1,Ormonde Offshore,54.08887,-3.43859
T_GYMR-17,Gwynt y Mor ,53.454,-3.62665
T_GYMR-26,Gwynt y Mor ,53.454,-3.62665
T_GYMR-28,Gwynt y Mor ,53.454,-3.62665
T_GYMR-15,Gwynt y Mor ,53.454,-3.62665
T_FALGW-1,Fallago Rig,55.83131,-2.68803
T_LNCSW-2,Centrica (Lincs),53.18417,0.49808
T_BLLA-1,Black Law,55.76219,-3.76257
T_HADHW-1,Hadyard Hill,55.25682,-4.73191
T_LNCSW-1,Centrica (Lincs),53.18417,0.49808
T_CLDSW-1,Clyde Wind Farm,55.44163,-3.54273
T_HRSTW-1,Harestanes,55.23903,-3.5742
T_BEATO-1,Beatrice,58.08823,-2.95016
T_BEATO-2,Beatrice,58.08823,-2.95016
T_ARCHW-1,Arecleoch Windfarm,55.06878,-4.79705
T_BEINW-1,Beinneun,57.09561,-4.96548
T_DDGNO-1,Dudgeon East ,53.11746,0.61347
T_BHLAW-1,Bhlaraidh (previously Balmacaan),57.21915,-4.58191
T_DDGNO-3,Dudgeon East ,53.11746,0.61347
T_GRIFW-2,Griffin Wind farm,56.58122,-3.73375
T_GRIFW-1,Griffin Wind farm,56.58122,-3.73375
T_DDGNO-4,Dudgeon East ,53.11746,0.61347
T_GNFSW-1,Gunfleet Sands Offshore Wind Scheme,51.73082,1.21801
T_ABRBO-1,European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),57.1462,-2.07281
T_DDGNO-2,Dudgeon East ,53.11746,0.61347
E_BURBO,Burbo Bank,53.48818,-3.18492
T_RRWW-1,Robin Rigg East,54.76419,-3.69552
T_BOWLW-1,Barrow ,53.99146,-3.29828
T_RREW-1,Robin Rigg East,54.76419,-3.69552
T_GANW-11,Galloper Wind Farm,51.87999,2.03999
T_GANW-13,Galloper Wind Farm,51.87999,2.03999
T_GANW-22,Galloper Wind Farm,51.87999,2.03999
T_GANW-24,Galloper Wind Farm,51.87999,2.03999
T_DUNGW-1,Dunmaglass Wind Farm,57.25148,-4.2558
2__PSTAT002,Berry Burn,57.44661,-3.47539
T_STLGW-2,Stronelairg Wind Farm,57.12692,-4.52637
T_STLGW-1,Stronelairg Wind Farm,57.12692,-4.52637
T_STLGW-3,Stronelairg Wind Farm,57.12692,-4.52637
E_BRDUW-1,Braes O'Doune,56.26983,-4.05894
T_FARR-1,Farr Wind Farm,57.33392,-4.10301
T_GORDW-1,Gordonbush,58.0595,-3.95905
T_FARR-2,Farr Wind Farm,57.33392,-4.10301
T_CGTHW-1,Corriegarth,57.19008,-4.35964
T_DRSLW-1,Dersalloch,55.30426,-4.48822
T_BLLA-2,Black Law Extension - 1b,55.76219,-3.76257
T_STRNW-1,Strathy North,58.49,-4.03359
T_KILBW-1,Kilbraur Windfarm,58.0404,-4.0588
E_BRYBW-1,Berry Burn,57.44661,-3.47539
T_MILWW-1,Millennium Windfarm,57.15523,-4.88364
T_AKGLW-2,"Aikengall II, Wester Dod Community Wind Farm",55.91721,-2.49007
T_MKHLW-1,Mark Hill,55.12837,-4.74631
T_GLWSW-1,Galawhistle,55.53957,-3.97542
T_BLKWW-1,Blackcraig,55.11991,-4.03212
E_HBHDW-1,Harburnhead Wind Farm,55.80868,-3.53217
E_BABAW-1,Baillie Windfarm Ltd,,
T_MIDMW-1,Middle Muir Wind Farm,55.51289,-3.80402
E_HLTWW-1,Hill of Towie (Drummuir),57.62284,-3.34105
T_CRMLW-1,Corriemoillie,57.66873,-4.77302
T_CRGHW-1,Carraig Gheal,56.33901,-5.29454
T_ACHRW-1,A'Chruach (Phase 1),56.15277,-5.31022
E_BTUIW-2,Beinn an Tuirc Phase 2,55.57317,-5.58735
2__PSTAT001,Windy Rig Wind Farm ,55.27467,-4.17856
T_EDINW-1,Edinbane Wind Farm,57.46913,-6.43221
T_EWHLW-1,Ewe Hill,55.10709,-3.33387
E_MINSW-1,Minsca,55.12207,-3.35286
E_ABRTW-1,Auchrobert Wind Farm,55.624,-3.98421
E_ASHWW-1,Andershaw,55.50933,-3.84626
T_SANQW-1,Sanquhar Community Windfarm,55.34418,-4.04657
T_GNAPW-1,Glen App,55.00066,-4.98968
E_DALSW-1,Dalswinton,55.1841,-3.65056
E_BETHW-1,Beinn Tharsuinn Windfarm Project,57.80527,-4.329
E_HYWDW-1,Hywind Scotland Pilot Park (Hywind 2) Demonstrator,57.50746,-1.44258
E_HLGLW-1,Hill of Glaschyle Wind Farm,57.51052,-3.61559
T_TDBNW-1,Toddleburn,55.76855,-2.87739
T_WHIHW-1,Whiteside Hill,55.35741,-4.02944
E_GLOFW-1,Glens of Foudland,57.42535,-2.63607
E_TULWW-2,Easter Tulloch Wind Farm (Tullo Extension),56.83639,-2.3957
T_FSDLW-1,Freasdail Wind Farm,55.77701,-5.47064
E_BNWKW-1,Burn of Whilk,58.35676,-3.20385
T_COUWW-1,Cour Wind Farm,55.68068,-5.48493
T_ANSUW-1,An Suidhe,56.21867,-5.21937
E_TULWW-1,Tullo,,
E_CLFLW-1,Clachan Flats Wind Farm,56.28809,-4.94289
E_TLYMW-1,Tullymurdoch Wind Farm,56.65491,-3.31341
E_GDSTW-1,Gordonstown Hill Wind Farm,57.46192,-2.48276
2__PENEC001,Rothes Wind (Cairn Uish),57.53726,-3.36296
C__PSMAR001,,,
E_AIRSW-1,,,
E_BTUIW-3,Beinn an Tuirc Phase 2,55.57317,-5.58735
