,site_name,development_status,development_status,long,lat,technology_type,capacity,county,region,country
0,Aberthaw Power Station Biomass,Operational,Operational,-3.4066095120083357,51.38747061309072,Biomass (co-firing),35.00,South Glamorgan,Wales,Wales
1,Hunterston - cofiring,Application Withdrawn,Planning Application Withdrawn,-4.8885740959992665,55.735806695922626,Biomass (co-firing),170.00,Strathclyde,Scotland,Scotland
2,Ferrybridge Multifuel 2 (FM2),Operational,Operational,-1.2818852350690881,53.71641723929932,EfW Incineration,70.00,West Yorkshire,Yorkshire and Humber,England
3,Thetford Biomass Power Station,Operational,Operational,0.7252726989252509,52.44862816984887,Biomass (dedicated),38.50,Norfolk,Eastern,England
4,Nunn Mills Road Biomass Plant,Application Refused,Planning Permission Refused,-0.8813407286354008,52.230194915074584,Biomass (dedicated),8.80,Northamptonshire,East Midlands,England
5,Kingmoor Marshalling Yard,Abandoned,Abandoned,-2.981517724259345,54.92891236375617,Biomass (dedicated),20.00,Cumbria,North West,England
6,North Wiltshire Biomass Power Plant,Application Refused,Planning Permission Refused,-1.83524848949045,51.63119651564309,Biomass (dedicated),5.50,Wiltshire,South West,England
7,,Application Withdrawn,Planning Application Withdrawn,-3.4292721757404365,52.19356939263252,Biomass (dedicated),15.00,Powys,Wales,Wales
8,Poole Biomass Plant,Application Withdrawn,Planning Application Withdrawn,-3.213853762703558,50.989285914191385,Biomass (dedicated),10.90,Somerset,South West,England
9,Eggborough Biomass Power Station,Abandoned,Abandoned,-1.1348973620437537,53.709298385804765,Advanced Conversion Technologies,10.60,North Yorkshire,Yorkshire and Humber,England
10,Eastman Peboc Factory,Appeal Refused,Appeal Refused,-4.351461751140031,53.26345360861088,Biomass (dedicated),31.00,Gwynedd,Wales,Wales
11,AHS Energy (Combustion),Application Refused,Planning Permission Refused,0.6151434282005551,51.003843972873476,Biomass (dedicated),4.50,East Sussex,South East,England
12,Forestry Commission Depot,Application Refused,Planning Permission Refused,-4.817385652819883,57.068853172005475,Biomass (dedicated),5.00,Highland,Scotland,Scotland
13,Chilton Energy Plant,Operational,Operational,-1.5666318523581944,54.66802704015,Biomass (dedicated),18.00,County Durham,North East,England
14,Bronzeoak Thermal,Abandoned,Abandoned,-2.546429116857641,51.08518258629696,Biomass (dedicated),12.70,Somerset,South West,England
15,Chilton Bros Biomass Plant,Application Withdrawn,Planning Application Withdrawn,-4.8355445963172015,55.262926297123094,Biomass (dedicated),2.50,Strathclyde,Scotland,Scotland
16,Double H Nurseries Biomass Plant,Operational,Operational,-1.6781191025064066,50.7507820194218,Biomass (dedicated),1.50,Hampshire,South East,England
17,Newry Biomass Phase 1 (Gasification),Operational,Operational,-6.336669144281395,54.2175068933632,Advanced Conversion Technologies,2.00,Co. Down,Northern Ireland,Northern Ireland
18,Beckton STW Biodiesel Power Plant,Operational,Operational,0.09346150714755841,51.51777682481655,Biomass (dedicated),8.00,London,London,England
19,Buslingthorpe Power Station (Leeds North),Operational,Operational,-1.5426149979781192,53.814326540186414,Biomass (dedicated),2.00,West Yorkshire,Yorkshire and Humber,England
20,Redhill Road Biomass Power Plant,Application Refused,Planning Permission Refused,-0.4499084332238287,51.33118194560277,Biomass (dedicated),2.50,Surrey,South East,England
21,Invergordon Pellet Mill,Operational,Operational,-4.159926948232918,57.70539165399964,Biomass (dedicated),5.00,Highland,Scotland,Scotland
