wikidata_site_name,repd_site_name,repd_lat,repd_long
Lochluichart Wind Farm,Lochluichart,57.654594170395,-4.81670114972227
Camster Wind Farm,Camster,58.4086507665401,-3.2715144469842
Corriemoillie Wind Farm,Corriemoillie,57.6687256561734,-4.77301802976021
Causeymire Wind Farm,Causeymire,58.443469800515906,-3.08542290225509
Burn of Whilk Wind Farm,Burn of Whilk,58.3567588954908,-3.20385373693041
Glens of Foudland Wind Farm,Glens of Foudland,57.4253453254024,-2.63607456316225
Hare Hill Wind Farm,Hare Hill,54.761580644493,-1.41510911611229
Crossdykes Wind Farm,Crossdykes,55.1761484100541,-3.17286998667626
Dalswinton Wind Farm,Dalswinton,55.1840971277482,-3.65056229793176
Minsca Wind Farm,Minsca,55.1220705696795,-3.35285659782916
Roosecote Battery,Roosecote,54.1052226329415,-3.19003081758888
Ewe Hill Wind Farm,Ewe Hill,55.1070922170653,-3.33386897951969
An Suidhe Wind Farm,An Suidhe,56.2186650612119,-5.21936666002629
Glen App Wind Farm,Glen App,55.0006606796383,-4.98967597391924
Holes Bay Battery,Holes Bay,50.7263244580002,-1.99021467799889
Port of Tyne Energy Storage,Port of Tyne,54.9772663428293,-1.45591345911679
Minnygap Wind Farm,Minnygap,55.2487680107965,-3.51480214057212
Creyke Beck Battery Storage,Creyke Beck,53.7982721516137,-0.421017690040162
Dinorwig Power Station,Dinorwig,53.118606684367,-4.1138927336729
Cruachan Power Station,Cruachan,56.4111523634539,-5.11345089454933
Clashindarroch Wind Farm,Clashindarroch,57.3710296957475,-2.85794109566575
Clashindarroch Wind Farm,Clashindarroch ,57.366481936075104,-2.86614768634714
Dun Law wind farm,Dun Law,55.806457153249696,-2.84603156525274
Harestanes Wind Farm,Harestanes,55.2390292130401,-3.57419758687719
Seagreen Wind Farm,Seagreen,56.6355123311335,-1.92662073376867
Fallago Rig Wind Farm,Fallago Rig,55.8313075314364,-2.68802768758759
Beinneun Wind Farm,Beinneun,57.0956058035301,-4.96548104707889
Gordonbush Wind Farm,Gordonbush,58.0594950178717,-3.9590510483295
Corriegarth Wind Farm,Corriegarth,57.1900845581125,-4.35963802395026
Dersalloch Wind Farm,Dersalloch,55.30425719972249,-4.48821801395356
Strathy North Wind Farm,Strathy North,58.4900040084943,-4.03358805665473
Berry Burn Wind Farm,Berry Burn,57.4466110329798,-3.47539253657958
Galawhistle Wind Farm,Galawhistle,55.5395749544602,-3.97542228274821
Toddleburn Wind Farm,Toddleburn,55.7685526953796,-2.87739100828523
Andershaw Wind Farm,Andershaw,55.5093264083878,-3.84626374100432
Blackcraig Wind Farm,Blackcraig,55.119912397996,-4.03211808070007
Carraig Gheal Wind Farm,Carraig Gheal,56.3390104189497,-5.29453732195241
Mark Hill Wind Farm,Mark Hill,55.1283730537946,-4.7463103755164
Thanet Wind Farm,Thanet ,51.4299320582825,1.63341138985176
Barrow Offshore Wind Farm,Barrow ,53.9914618509849,-3.29828439434881
Burbo Bank Offshore Wind Farm,Burbo Bank,53.4881830165209,-3.18492254214665
Moray East Offshore Wind Farm,Moray East,57.9673245234912,-2.79053689483734
Whitelee Wind Farm,Whitelee,55.6812068778866,-4.27906057835863
Beatrice Wind Farm,Beatrice,58.0882292626591,-2.95015720565631
Beinn an Tuirc Wind Farm,Beinn an Tuirc,55.573170618122,-5.58735269356646
Black Law Wind Farm,Black Law,55.7621889797412,-3.76256660509842
Neart na Gaoithe Offshore Wind Farm,Neart na Gaoithe,56.2699998023745,-2.25000117152584
Hadyard Hill Wind Farm,Hadyard Hill,55.2568233410114,-4.73190652350973
Pen y Cymoedd,Pen Y Cymoedd,51.6555429163317,-3.69573019602475
Seal Sands Power Station,Seal Sands,54.6128333107569,-1.17855917286073
Sheringham Shoal Offshore Wind Farm,Sheringham Shoal ,53.1353185918113,1.14792186395155
Spalding Power Station,Spalding,52.7729979020663,-0.144120617751099
Triton Knoll Wind Farm,Triton Knoll ,53.2122722953723,0.861639087553368
West of Duddon Sands Wind Farm,West of Duddon Sands,53.9851498253592,-3.46200706891821
Foyers Power Station,Foyers,57.2543573166269,-4.4938204171422
Whiteside Hill Wind Farm,Whiteside Hill,55.3574139126262,-4.02944207505616
West Burton B Battery,West Burton,53.364529211549296,-0.798355916535516
Pelham Battery Storage,Pelham,51.9374373162064,0.119183813450629
Keith Hill Wind Farm,Keith Hill,55.8394511810394,-2.84210144425129
Keith Hill Wind Farm,Keith Hill ,55.8172715487126,-2.82545592635366
