bin,curtailment_percent,count
0.5-1.0 GW,0.13253965348047728,2549
1.0-1.5 GW,0.7748348034013575,2637
1.5-2.0 GW,0.8324154888928171,2452
2.0-2.5 GW,1.1594263931550255,2063
2.5-3.0 GW,3.5284999888834157,1984
3.0-3.5 GW,7.340674379879738,1909
3.5-4.0 GW,10.860490961201021,1766
4.0-4.5 GW,14.984334364312616,1427
4.5-5.0 GW,19.931961983592217,1465
5.0-5.5 GW,23.005500294724353,1288
5.5-6.0 GW,26.731604437557856,1135
6.0-6.5 GW,30.89102998947999,1156
6.5-7.0 GW,31.86071815843273,1172
7.0-7.5 GW,34.93684369911493,1152
7.5-8.0 GW,39.45811279742789,1110
8.0-8.5 GW,43.16398744128139,849
8.5-9.0 GW,45.27191761517494,921
9.0-9.5 GW,46.593533085561305,851
9.5-10.0 GW,48.09890427021242,729
10.0-10.5 GW,49.730216775206614,424
10.5-11.0 GW,53.78316985049657,104
11.0-11.5 GW,52.3451692523434,44
