bin,curtailment_gw,generated_gw,curtailment_percent
1.0-1.5 GW,0.0,12.952216666666667,0.0
1.5-2.0 GW,0.0,332.96872712148985,0.0
2.0-2.5 GW,4.504761617826618,996.5838716783222,0.004520203212039003
2.5-3.0 GW,15.4386601953602,2316.39553279381,0.006664949908938736
3.0-3.5 GW,18.84446451659452,4177.211550558947,0.004511254526736374
3.5-4.0 GW,23.722046989122,6323.461994751973,0.0037514334724885866
4.0-4.5 GW,35.956859894103964,8603.69464005078,0.0041792347820809855
4.5-5.0 GW,52.92295051171051,9704.799911524251,0.00545327580106681
5.0-5.5 GW,36.9054716856834,10099.414216575144,0.0036542190362995703
5.5-6.0 GW,52.701952981370496,10900.278776586143,0.00483491790086824
6.0-6.5 GW,52.37503195970696,9366.341988767403,0.005591834253171385
6.5-7.0 GW,59.90603999722501,9531.030190035111,0.006285368821920007
7.0-7.5 GW,57.472614721019724,8728.509895060859,0.006584470363439852
7.5-8.0 GW,48.96633930624931,8270.458047979984,0.00592063208859503
8.0-8.5 GW,66.33313928585098,7908.224132867088,0.008387867891878049
8.5-9.0 GW,50.79247979025805,8002.516141731648,0.00634706370979805
9.0-9.5 GW,61.64756241184741,9652.273458252046,0.006386843750178139
9.5-10.0 GW,63.91362845457012,10446.386676571696,0.0061182522180526205
10.0-10.5 GW,70.36089599923022,8270.61274244556,0.00850733774997486
10.5-11.0 GW,78.05595233448516,9553.35829699316,0.008170524951320273
11.0-11.5 GW,74.90765418562917,10645.486351097608,0.007036564766992142
11.5-12.0 GW,73.94427875667805,10328.535528381497,0.0071592219974931206
12.0-12.5 GW,70.06559360028862,7079.305905505051,0.009897240567864684
12.5-13.0 GW,47.682509855823184,5550.997428744713,0.008589899467239705
13.0-13.5 GW,18.01984951739618,2350.8700539618408,0.007665183146566501
13.5-14.0 GW,15.277131111111114,765.7479977777779,0.019950598833357418
14.0-14.5 GW,9.302711111111112,204.55337777777777,0.045478159354656905
