repd_site_name,repd_lat,repd_long,total_generated,total_curtailment,total_pn,capacity,bm_unit,below_b6,curtailment_ratio
Galawhistle,55.53957,-3.97542,92.06903,-3.57505,95.64388,66.0,T_GLWSW-1,false,0.037378763805901646
Beinn Tharsuinn Windfarm Project,57.80527,-4.329,38.24528,-14.26872,52.514,29.8,E_BETHW-1,false,0.2717126861408386
Auchrobert Wind Farm,55.624,-3.98421,69.96862,-1.83162,71.80023,36.0,E_ABRTW-1,false,0.025509946138055548
A'Chruach (Phase 2),56.12445,-5.3102,82.8816,-0.64835,83.52982,4.0,T_ACHRW-1,false,0.007761898684805019
Walney 1,54.03945,-3.51579,3401.2234900000003,-5.77395,3404.55141,183.6,"T_WLNYW-1,T_WLNYO-3,T_WLNYO-2,T_WLNYW-1,T_WLNYO-4",true,0.001695950304360362
Bad a Cheo Wind Farm,58.42046,-3.42919,64.34346,-1.47272,65.81613,26.7,T_BDCHW-1,false,0.022376277669319055
Gordonbush,58.0595,-3.95905,133.47027,-98.91746,232.38279999999997,70.0,"T_GORDW-1,T_GORDW-2",false,0.4256660131472726
Greater Gabbard Wind Farm,51.91764,1.92842,1102.87627,-55.47079,1158.34668,504.0,"T_GRGBW-3,T_GRGBW-2,T_GRGBW-1",true,0.04788790001970739
Arecleoch Windfarm,55.06878,-4.79705,165.53987,-11.04718,176.58697,120.0,T_ARCHW-1,false,0.06255942893181757
Rampion Offshore Wind Farm (Hastings Zone),50.63999,-0.18,1090.4407999999999,-3.7807000000000004,1094.2215,400.0,"T_RMPNO-1,T_RMPNO-2",true,0.0034551505339641014
Crossdykes,55.17615,-3.17287,80.6522,-26.9747,107.6269,48.0,"T_CRDEW-1,T_CRDEW-2",false,0.2506315800232098
Hill of Glaschyle Wind Farm,57.51052,-3.61559,42.02405,0.0,42.02405,27.6,E_HLGLW-1,false,-0.0
Beinneun,57.09561,-4.96548,200.0227,-6.97942,207.00212,85.0,T_BEINW-1,false,0.033716659520202016
Crystal Rig Wind Farm Phase 2a,55.89948,-2.52931,258.19401999999997,-35.59581,293.78723,138.0,"T_CRYRW-2,T_CRYRW-3",false,0.12116186942502571
Minsca,55.12207,-3.35286,76.32419,-5.48142,81.80527,36.8,E_MINSW-1,false,0.06700570757849708
Keith Hill,55.81727,-2.82546,5.39842,0.0,5.39842,4.5,T_KTHLW-1,false,-0.0
Black Law Extension - 1b,55.76219,-3.76257,93.34815,-14.65922,108.00722,15.0,T_BLLA-2,false,0.1357244450880228
Windy Standard III Wind Farm (Brockloch Rig Phase 2),55.27641,-4.24171,146.60549,-19.84711,166.45218,87.6,T_WISTW-2,false,0.11923610733124673
Hywind Scotland Pilot Park (Hywind 2) Demonstrator,57.50746,-1.44258,97.63898,0.0,97.63898,30.0,E_HYWDW-1,false,-0.0
Robin Rigg West,54.7473,-3.72931,384.8979,0.0,384.8979,90.0,"T_RRWW-1,T_RREW-1",true,-0.0
Aikengall IIa Community Wind Farm,55.89342,-2.45259,342.15409999999997,-62.21352,404.36513,81.7,"T_AKGLW-2,T_AKGLW-3",false,0.1538548093897216
Glen App,55.00066,-4.98968,34.03983,-2.86953,36.89193,22.0,T_GNAPW-1,false,0.07778205152183688
Rosehall Hill Forest Windfarm,57.99562,-4.54695,38.88693,-1.36626,40.25318,24.7,2__PEDGE004,false,0.033941666223637486
Corriemoillie,57.66873,-4.77302,48.63852,-34.49932,83.13747,54.4,T_CRMLW-1,false,0.414967162219394
European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),57.1462,-2.07281,191.8074,0.0,191.8074,96.8,T_ABRBO-1,false,-0.0
South Kilbraur Wind Farm,58.03566,-4.06173,94.9555,-30.82663,125.78183,28.0,T_KILBW-1,false,0.24508015187885246
Twentyshilling Hill Wind Farm,55.31976,-3.90048,326.38348,-92.43996,418.8218,27.0,"T_TWSHW-1,T_TWSHW-1,T_TWSHW-1,T_TWSHW-1",false,0.22071429901690887
Sanquhar Community Windfarm,55.34418,-4.04657,86.56271,-3.22169,89.78432,32.4,T_SANQW-1,false,0.03588254608377053
